method,path,source_status,classification,module,controller,decorator_evidence,auth_permission_notes,branch_org_context,replacement_route,ready_for_frontend,notes
GET,/api/accounting/accounts,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Get('accounts') line 25 (@Controller('accounting')),JwtAuthGuard+PermissionGuard pos:accounting:accounts:read,branch-scoped (RequireBranchContext),,yes,Doc artifact had trailing colon; route is live.
POST,/api/accounting/accounts,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Post('accounts') line 33,JwtAuthGuard+PermissionGuard pos:accounting:accounts:create,branch-scoped,,yes,Doc artifact had trailing colon; route is live.
PATCH,/api/accounting/ap/bills/:id/approve,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,AccountsPayable,accounts-payable.controller.ts,@Post(':id/approve') line 100 (@Controller('accounting/ap')),JwtAuthGuard+PermissionGuard accounting:ap:bill:approve,branch-scoped,POST /api/accounting/ap/bills/:id/approve,yes,Method is POST not PATCH; M34 report typo. Postman + frontend should use POST.
GET,/api/accounting/ap/suppliers/:id,report-only,MISSING_IMPLEMENT,AccountsPayable,accounts-payable.controller.ts,no @Get(':id') for suppliers branch,JwtAuthGuard+PermissionGuard,branch-scoped,,no,List exists; single-supplier read endpoint not implemented. Defer to BG-future or M34 follow-up if frontend needs detail drawer.
GET,/api/accounting/cost-centers,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Get('cost-centers') line 47,pos:accounting:cost-centers:read,branch-scoped,,yes,
POST,/api/accounting/cost-centers,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Post('cost-centers') line 54,pos:accounting:cost-centers:create,branch-scoped,,yes,
PATCH,/api/accounting/periods/:id/open,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Patch('periods/:id/open') line 88,pos:accounting:periods:open,branch-scoped,,yes,
GET,/api/accounting/periods,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Get('periods') line 72,pos:accounting:periods:read,branch-scoped,,yes,
POST,/api/accounting/periods,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Post('periods') line 80,pos:accounting:periods:create,branch-scoped,,yes,
GET,/api/accounting/posting-source-maps,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Get('posting-source-maps') line 108,pos:accounting:posting-source-maps:read,branch-scoped,,yes,
GET,/api/accounting/tax-config,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Get('tax-config') line 132,pos:accounting:tax-config:read,branch-scoped,,yes,
PATCH,/api/accounting/tax-config,report-only,VERIFIED_IN_CODE,Accounting,accounting.controller.ts,@Patch('tax-config') line 140,pos:accounting:tax-config:update,branch-scoped,,yes,
POST,/api/adjustments,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Post('adjustments') line 46 (@Controller('payroll')),pos:payroll:adjustments:create,branch-scoped,POST /api/payroll/adjustments,yes,M30 report omitted module prefix. Canonical path is /api/payroll/adjustments.
GET,/api/alerts,report-only,VERIFIED_IN_CODE,Alerts,alerts.controller.ts,@Get('alerts') line 36 (@Controller() no prefix),JwtAuthGuard+PermissionGuard alerts:read,org-scoped,,yes,
PATCH,/api/alerts/channels/:id,report-only,VERIFIED_IN_CODE,Alerts,alerts.controller.ts,@Patch('alerts/channels/:id') line 89,alerts:channel:write,org-scoped,,yes,
PATCH,/api/alerts/digests/:id,report-only,VERIFIED_IN_CODE,Alerts,alerts.controller.ts,@Patch('alerts/digests/:id') line 145,alerts:digest:write,org-scoped,,yes,
GET,/api/analytics/anomalies/:id,report-only,VERIFIED_IN_CODE,Analytics,analytics.controller.ts,@Get('anomalies/:id') line 76,pos:analytics:anomalies:read,branch-scoped,,yes,
