organizationSlug,branchCode,supplierName,billNumber,billDate,dueDate,status,sourceType,subtotal,taxAmount,totalAmount,approvedByEmail,servicePeriodStart,servicePeriodEnd,notes
nimbus,ROOFTOP_BAR,Kampala Utilities Demo,VB-2026-0001,2026-06-09T09:00:00Z,2026-06-20T09:00:00Z,APPROVED,UTILITY,251000.00,45200.00,296200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Kampala Dry Goods,VB-2026-0002,2026-05-22T09:00:00Z,2026-06-23T09:00:00Z,PAID,UTILITY,1567100.00,282100.00,1849200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,CleanOps Services,VB-2026-0003,2026-06-10T09:00:00Z,2026-07-28T09:00:00Z,PAID,SUBSCRIPTION,276400.00,49800.00,326200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Prime Poultry Demo,VB-2026-0004,2026-05-05T09:00:00Z,2026-07-20T09:00:00Z,DRAFT,SUBSCRIPTION,631700.00,113700.00,745400.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,Kampala Utilities Demo,VB-2026-0005,2026-05-03T09:00:00Z,2026-07-10T09:00:00Z,DRAFT,MANUAL_SERVICE,2063600.00,371400.00,2435000.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,GARDEN_CAFE,Event Rentals Demo,VB-2026-0006,2026-05-16T09:00:00Z,2026-07-12T09:00:00Z,PAID,SUBSCRIPTION,936800.00,168600.00,1105400.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,GARDEN_CAFE,Cafe Bean Collective,VB-2026-0007,2026-05-03T09:00:00Z,2026-07-08T09:00:00Z,APPROVED,EXPENSE,1690700.00,304300.00,1995000.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,Skyline Beverage Supply,VB-2026-0008,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,PARTIALLY_PAID,UTILITY,2179300.00,392300.00,2571600.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Lake Harvest Foods,VB-2026-0009,2026-06-10T09:00:00Z,2026-06-21T09:00:00Z,APPROVED,SUBSCRIPTION,1962000.00,353200.00,2315200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,TAPAS_DOWNTOWN,Kampala Utilities Demo,VB-2026-0010,2026-06-02T09:00:00Z,2026-07-24T09:00:00Z,PAID,MANUAL_SERVICE,375500.00,67600.00,443100.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
