screen_or_flow,frontend_component_hint,api_surface,roles,status,gating_note
Prospect views plans,PublicPricingPage,GET /api/public/plans,Public user,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Owner logs in, app resolves org/branch context",AuthShell; RoleRouter; BranchContextSelector,POST /api/auth/login; GET /api/auth/me,Owner/Manager/Accountant/etc,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Owner views billing, changes plan, pays via PesaPal SaaS billing",BillingDashboard; PlanCards; CheckoutRedirect,GET /api/billing; PATCH /api/billing/subscription; POST /api/billing/pesapal/checkout-session,Owner,Verified; PesaPal is SaaS only,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Owner creates org/branch/profile/settings and invites Manager/Accountant,OnboardingWizard,/api/onboarding/*,Owner,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Invited staff log in globally and resolve membership context,AuthShell; FirstLoginPrompt,POST /api/auth/login; GET /api/auth/me,Manager; Accountant,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Manager creates employees/users/PINs for waiter/cashier/chef,StaffAdmin; PinCard,HR employee endpoints + quick PIN endpoints,Manager; Owner,Partially verified; one-call setup recommended,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Waiter/cashier selects table, creates order, sends to kitchen, closes payment",POSLayout; OrderTicket; PaymentPanel,/api/pos/orders/*; /api/payments/*,Waiter; Cashier; Manager,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Chef views station queue and marks/recalls items,KdsBoard,/api/kds/*,Chef; Bartender,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Manager configures categories/items/recipes/stock/FIFO,MenuAdmin; InventoryAdmin,/api/menu/*; /api/recipes/*; /api/inventory/*,Owner; Manager; Stock Manager; Chef,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Backoffice manages reservations/events; public diners browse/hold/confirm,ReservationsDesk; EventsAdmin; PublicBookingSite,/api/reservations/*; /api/events/*; /api/public/*,Manager; Host; Public diner,Verified; public paid checkout pending,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
Owner/manager views dashboards/reports/exports/live feed,Dashboard; ReportBuilder; LiveFeed,/api/dashboard/*; /api/reports/*; /api/alerts/*,Owner; Manager; Accountant,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Manage employees, attendance, schedules, payroll, staff insights",HRWorkspace; RosterPlanner; PayrollRuns,/api/hr/*; /api/workforce/*; /api/payroll/*; /api/staff/*,Owner; Manager; HR; Accountant,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"COA, journals, AP, AR, bank rec, close, budgets, forecasts",AccountingWorkspace,/api/accounting/*; /api/finance/*,Accountant; Owner,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Multi-branch overview, transfers, rankings, consolidated analytics",HQDashboard; BranchComparison; TransferWorkflow,/api/franchise/*,Owner; HQ Manager; Accountant,Verified in Postman,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
"Offline replay, idempotency, flags, maintenance, training",AdminConsole; TrainingModeBanner; MaintenanceBlocker,/api/sync/*; /api/idempotency/*; /api/flags/*; /api/maintenance-windows/*; /api/training/*,Owner; Admin; Manager,Verified; adoption gaps noted,Do not start full build until dependent gap-fix endpoints are implemented or deferred.
