journalNumber,accountCode,direction,amount,costCenterCode,memo
JRN-2026-0001,5100,DEBIT,986100.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0001,2000,CREDIT,986100.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0002,1000,DEBIT,1105200.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0002,4000,CREDIT,1105200.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0003,5100,DEBIT,1835100.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0003,2000,CREDIT,1835100.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0004,1000,DEBIT,1281600.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0004,4000,CREDIT,1281600.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0005,1000,DEBIT,1201500.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0005,4000,CREDIT,1201500.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0006,1000,DEBIT,992000.00,TAPAS_DOWNTOWN-ADMIN,Demo debit line
JRN-2026-0006,4000,CREDIT,992000.00,TAPAS_DOWNTOWN-ADMIN,Demo credit line
JRN-2026-0007,5100,DEBIT,2409900.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0007,2000,CREDIT,2409900.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0008,1000,DEBIT,2384700.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0008,4000,CREDIT,2384700.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0009,1000,DEBIT,328500.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0009,4000,CREDIT,328500.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0010,1000,DEBIT,1285100.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0010,4000,CREDIT,1285100.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0011,5100,DEBIT,1750500.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0011,2000,CREDIT,1750500.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0012,5100,DEBIT,2387600.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0012,2000,CREDIT,2387600.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0013,5100,DEBIT,1928900.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0013,2000,CREDIT,1928900.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0014,5100,DEBIT,526300.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0014,2000,CREDIT,526300.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0015,1000,DEBIT,1066300.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0015,4000,CREDIT,1066300.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0016,5100,DEBIT,2455800.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0016,2000,CREDIT,2455800.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0017,5100,DEBIT,756500.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0017,2000,CREDIT,756500.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0018,1000,DEBIT,783000.00,TAPAS_DOWNTOWN-ADMIN,Demo debit line
JRN-2026-0018,4000,CREDIT,783000.00,TAPAS_DOWNTOWN-ADMIN,Demo credit line
JRN-2026-0019,1000,DEBIT,356700.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0019,4000,CREDIT,356700.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0020,1000,DEBIT,1918500.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0020,4000,CREDIT,1918500.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0021,1000,DEBIT,901500.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0021,4000,CREDIT,901500.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0022,1200,DEBIT,351100.00,TAPAS_DOWNTOWN-ADMIN,Demo debit line
JRN-2026-0022,2000,CREDIT,351100.00,TAPAS_DOWNTOWN-ADMIN,Demo credit line
JRN-2026-0023,1200,DEBIT,1293300.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0023,2000,CREDIT,1293300.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0024,1000,DEBIT,2394700.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0024,4000,CREDIT,2394700.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0025,1000,DEBIT,982200.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0025,4000,CREDIT,982200.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0026,5100,DEBIT,1188400.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0026,2000,CREDIT,1188400.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0027,5100,DEBIT,1801500.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0027,2000,CREDIT,1801500.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0028,1000,DEBIT,759700.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0028,4000,CREDIT,759700.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0029,1200,DEBIT,612000.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0029,2000,CREDIT,612000.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0030,1000,DEBIT,933900.00,TAPAS_DOWNTOWN-ADMIN,Demo debit line
JRN-2026-0030,4000,CREDIT,933900.00,TAPAS_DOWNTOWN-ADMIN,Demo credit line
JRN-2026-0031,1000,DEBIT,520800.00,ROOFTOP_BAR-ADMIN,Demo debit line
JRN-2026-0031,4000,CREDIT,520800.00,ROOFTOP_BAR-ADMIN,Demo credit line
JRN-2026-0032,1000,DEBIT,1700600.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0032,4000,CREDIT,1700600.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0033,5100,DEBIT,1711500.00,GARDEN_CAFE-ADMIN,Demo debit line
JRN-2026-0033,2000,CREDIT,1711500.00,GARDEN_CAFE-ADMIN,Demo credit line
JRN-2026-0034,1200,DEBIT,395300.00,EVENTS_KITCHEN-ADMIN,Demo debit line
JRN-2026-0034,2000,CREDIT,395300.00,EVENTS_KITCHEN-ADMIN,Demo credit line
JRN-2026-0035,5100,DEBIT,1714000.00,TAPAS_DOWNTOWN-ADMIN,Demo debit line
JRN-2026-0035,2000,CREDIT,1714000.00,TAPAS_DOWNTOWN-ADMIN,Demo credit line
JRN-2026-0036,1000,DEBIT,1355300.00,GARDEN_CAFE-ADMIN,Demo debit line
